comment,stance_llama_8b
id rather watch the horribly not funny extremely political woke snl,OTHER
with all the ego stroking there the janitors must be ticked off cleaning up after all that joe is so full of it and harris sounds like the booger sugar is starting to get to her sinuses,OTHER
so sad this is the best they can do we the people want to see a debate,LIBERAL
im voting trump but this woman was serving some serious alyssa milano sans arms of the angel background music,CONSERVATIVE
look at all these swamplings in one room 4 more years lmao geez,OTHER
he is not a liartrump is a liar,LIBERAL
he has some redbull and double shot camala,OTHER
hes a clone,OTHER
back off trump fans theyre gonna be war watch yourself,LIBERAL
what is he talking about this is not even reality im pretty sure he is not real,OTHER
jb oh oh i crapped my pants democrats stand up and applause and cheer and call him brilliant,LIBERAL
i was waiting for him to yell get off my lawn he was so angry and divisive it was actually sad,OTHER
this was so rough to watch,LIBERAL
joe has a proven career in working for america his time is spent doing his job rather than pandering for the cameras,CONSERVATIVE
hannity is trying his best to spin everything even though speaker mike johnson was clapping regarding putinukraine,LIBERAL
amy couldnt decide whether to laugh or cry or look angry she needs to stop trying to imitate biden and just be real these are the reasons bidens get away with everything somebody has to be real we need trump back we need genuine people in office,CONSERVATIVE
bumble ramble blame others lie gaslight gatekeepers gaffe stumble what a twat,OTHER
cnn turned their comments off edit i just realized everyone did seconds after i commented let the people speak,OTHER
i wonder how much they had to pay these people to pretend that they like this evildoer,OTHER
hunter must have contacted every dealer he knows to get brandon that hopped up,OTHER
have tried over a dozen news sites no joe biden just motor mouths talking about it i would like to actually hear biden himself speaking,OTHER
history is watching the threat to democracy must be defended hmmm,LIBERAL
delusional and embarrassing,OTHER
so many disgusting people in this place,OTHER
mark levin should have given rebuttal pick apart jbs lies piece by piece,LIBERAL
brought to you by adderall,OTHER
a performance of total political correctness a show of absolute mediocracy,OTHER
why are you clapping,OTHER
comedy show i see everybody is laughing,OTHER
so we gonna keep allowing this windbag to lie and rob us,OTHER
joe is a grouchy old senile man who has so many puppet strings pulling him in ten different directions hes so tangled he will say and promise anything to bribe a vote from any race gender or age group joe has got to go,OTHER
biden wasnt elected he was installed like a toilet,OTHER
hunter to dad before the speech here dad sniff this and away we goooooooooooooooooo,OTHER
i dont understand all the cheering and support for another 4 years he is not capable,LIBERAL
he is a great president in the world better than trump trump is a loser go biden,LIBERAL
biden is the greatest republican president of my lifetime,OTHER
what a joke lies and bs,OTHER
what a load of crap trump 2024,LIBERAL
biden is doing the work of satan and revels in it this is what we get by having career politicians who camp out in dc for decades and become so out of touch fjb britt is right on 100,CONSERVATIVE
don the con cant run a country from prison biden harris 2024,OTHER
this is comical man wow,OTHER
look at all those criminals,OTHER
why wasnt president biden wearing his wedding ring,OTHER
like a bunch of wulfs all bunch of criminals,OTHER
follow the yellow brick road,OTHER
one of the worst state of the union speeches ever it was full of lies and hate 405,LIBERAL
both sides are bought and paid for by corporate american wake up american,OTHER
lol this is the first link to the sotu that allows comments that ive seen wonder why,OTHER
crap i need another garbage can to puke in because this one is full,OTHER
she seems to superficial they should have chosen someone else who has a better rapport across the board to give the response,OTHER
hes full of s keep selling us out brandon,LIBERAL
ok this chick sounds looney or high af this was the best rebuttal we could get,OTHER
britt is a little too dramatic in her speech,OTHER
biden should consider running for president of ukraine since he likes them so much,OTHER
does anyone believe this nonsense,OTHER
the demon has entered how many adrenaline shots did they need to give him this time,OTHER
president biden delivered a powerful and inspirational speech hes done so much for america and he will continue hes honest and a truly kind human we need 4 more years,LIBERAL
did anybody check to make sure that wasnt a masked lone ranger,OTHER
sleepy the mastermind just went dark brandon on darth mango,OTHER
holy moly who was he yelling at they had him so full of drugs it was sad and pathetic you knew he was going to lie about everything record economy blaming repubs for the border just a disgrace like he has been,LIBERAL
look at all these asskissers,OTHER
impressive state of the union biden 2024,LIBERAL
this is by far the best biden looked and sounded and made trump and the maga look like idiots especially mtg,LIBERAL
i came to the fox news channel to hear a lot of comments probably mostly negative im surprised they are so few either way even as an independent i must admit that was a pretty good speech,LIBERAL
it doesnt matter what lying biden says tonight because we have all seen what a trash fire this administration has been,CONSERVATIVE
did anyone else feel dumber for listening to his sht,OTHER
id like to know what drugs they had him on tonight for him to be able to get through that entire speech something hes been unable to do for yrs granite the speech was bulshit all memorized lies are we going to have a show factchecking him for all his claims and his statements tonight,LIBERAL
people we need to vote for the better candidate at this moment n this is obviously not it,OTHER
more of the same destruction of the united states of america the state of destruction,OTHER
this man is the biggest liar on earth bottom line,OTHER
this is madness,OTHER
is anybody noticed the new york judge was there tonight that went after donald trump the judge should remove as a judge and be charged,LIBERAL
we going to boned in joe bidens lies,CONSERVATIVE
at least they got rid of the scary red and black backdrop,OTHER
president biden should consider running for the presidency of ukraine as his initial focus on the topic highlights his approach to governance prioritizing foreign affairs particularly concerning ukraine demonstrates his commitment and leadership despite the promising reports on the economy from economists the benefits are not reaching the average citizens who are facing challenges in maintaining their livelihoods our nation is grappling with issues such as illegal immigration and the strain it puts on resources it is imperative that president biden addresses pressing american matters before turning his attention elsewhere,CONSERVATIVE
clown show,OTHER
a very powerful eloquent coherent intelligent honest speech from a cultured leader who respects everyone without mocking anyone without excluding or denigrating minorities,LIBERAL
where are the comments,OTHER
im so scared for america more so now the never before,LIBERAL
