comment,biden_stance,trump_stance
biden spent the majority of his time yelling at the top of his voice admonishing others in an attempt to distract from the true state of the american union since he took over a speech with absolutely no substance by a president who is barely alive at this stage surely the us can do better than that he is an embarrassment,AGAINST,FAVOR
what a complete waste of time and tax payers money,AGAINST,FAVOR
he couldve concluded all these in one word asufutimaehaehfutbw but he didnt,NONE,NONE
he had to bring up jan 6 as americas darkest day what an idiot,FAVOR,AGAINST
but he didnt say her name he called her lincoln not laken,NONE,AGAINST
angry old wannabe tyrant gaslighting and shouting down at everyone hes a jerk,FAVOR,NONE
biden on target sincere nothing like his predecessor additionally britts repub rebuttal pure theatrics bored me after 10 minutes,FAVOR,AGAINST
who careswhy are we covering this,NONE,NONE
how did they prop him up,AGAINST,NONE
all i seen tonight was biden telling us a bunch of lies that he has done so much for the country well he has he distroyed it he made us a laughing stock with the world,AGAINST,FAVOR
one of bidens best speecheshes winning reelection for sure now you cant love your country only when you winremember that republicans,FAVOR,NONE
hunters absence was the first highlight of the night hatred filled the room emanated from pitiful politicians usa was stepped on again with accommodations,AGAINST,FAVOR
it really does make you wonder like what the end game for these people where are they going to go,NONE,FAVOR
what a disgusting lying piece of crap he belongs in an institution not the white house worst president in history,FAVOR,AGAINST
gtb instead of gdp 14606 this is why our country is fed up,NONE,NONE
cartel biden is a national disgrace and global embarrassment fact,AGAINST,NONE
this wasnt a state of the union it was a state of confusion,AGAINST,FAVOR
proud of our president powerful speechi hope to see the changes he promotes when he is re elected,NONE,FAVOR
we want a republic not a democracy,NONE,FAVOR
that table talk isnt gonna cut it youd been better off just showing proof of his lies one by one with facts or show his numbers vs trumps as far as border crossings i know weve all seen them but guess who hasnt this appeal to family values wont cut it against these demons know your enemy right obviously republicans still dont get it edit ugh not the empty chair technique,FAVOR,AGAINST
what a crock of lies and deception whats up with harris always standing up clapping and staring at the camera like a deer in headlights he has pulled the wool over a lot of peoples head as fellow americans suffer just a touch on this subject criminals can get and do whatever they want and banning something keeps the law abiding the prey he needs to walk away and give up on 24,AGAINST,FAVOR
interesting speech but the gops response had more substance,FAVOR,FAVOR
hes the threat to our country,NONE,AGAINST
joe biden is 100 full of bologna,AGAINST,NONE
look at this theyre all laughing shaking hands joking around this is serious solemn business how about acting like it im profoundly disgusted with our representatives what a circus of hypocritical clowns,AGAINST,AGAINST
this was the state of the gaslighting i cant believe he used this speech as a campaign speech ohwait this is sleepy joe the opportunist,AGAINST,FAVOR
cocaine is hell of a drug,NONE,NONE
the longer we collectively put up with this treasonous dogshit the longer it will happen,NONE,NONE
hey kamala clean up san francisco too many homeless on the streets make use of yourself,NONE,FAVOR
i am just now watching this i turned the volume all the way down and hit the speed button at the top just to watch the expressions it was quite comical i know from the past 3 years he told all lies then read some of the comments,NONE,AGAINST
that was not a state of the union speech it was a campaign speech his speech writers are horrendous,AGAINST,NONE
we might as well communism in our futureif he is reelected,FAVOR,AGAINST
what a show thx fox to keep comments open,NONE,NONE
it very much seems the house is divided,NONE,NONE
train wreck,NONE,AGAINST
proud democrats of what sad sad very sad i have nothing to say about aging but this is from lie after lies of sin,FAVOR,AGAINST
this guy is a complete demon,AGAINST,FAVOR
i was thinking he was going to walk up to the podium forget where he was and look around like grampa simpson and go which one of you is the mailman,FAVOR,AGAINST
a state of union or a state of confusion,FAVOR,AGAINST
amazing how much joe and this government cares more about ukraine than our own countrys problems,AGAINST,FAVOR
i dont know why the speaker of the house was clapping he need to get some balls he needs to get all that information to adjudge and get this guy out of office he compiled enough information to proceed to put president joe biden in his place im talking about impeachment impeachment impeachment no more inquiryfire him persecute him put him in jail,FAVOR,AGAINST
the wrath of god is coming upon this nationbiden is godless,AGAINST,NONE
sorry laken died but so do thousands,NONE,NONE
old cronies cluband we pay for these guys to rip us offwhen are we the people who pay their wages going to wake up to the evil that has destroyed our country its so very sadthe entire world has gone madmay god and his magnificent son be with us all in these evil days come quickly lord jesus,AGAINST,AGAINST
the angriest political speech in my lifetime how could he start with ukraine he was well medicated and rambling couldnt get trump out of his mind without mentioning his name had no idea what is going on in the country,AGAINST,FAVOR
is this a state of the union address or a prom celebration could not tell the difference,NONE,NONE
inflation immigration economy omg everything going up all talks no action can we all just get along,NONE,NONE
lie after lie contradiction after contradiction this is a of s,NONE,AGAINST
united states is a dying empire just as rome and the empires that came after it,NONE,NONE
so amphetamin can make speak even an old dement cheater liar mass murderer,NONE,NONE
fire joe he is the worst,AGAINST,NONE
i feel like its late on christmas eve and the kids are all wound but we have to hold it together while the elders get their brandy slushes and cackle and reminisce waiting for tomorrow mornings wonder and glory like christmas is coming but all the while being the adult now and knowing aghh its just work and more work pass the moth balls and the brandy slush its gonna be a long wait,NONE,NONE
and these are the criminals from both sides deciding americas fate disgusting,AGAINST,AGAINST
hes high,NONE,AGAINST
i thought it was the most divisive state of the union i have ever seen for a guy that was going to bring the country together 3 years ago,AGAINST,FAVOR
either you stand with us for democracy against russia or you admit that you are nothing but an enemy of the state i used to disagree with the right on simple things but now i feel they are nothing but puppets for the enemy i hope that i am proved wrong,FAVOR,AGAINST
joe biden is so distant from america and especially all american citizens problems and needs its actually sad to see how low america has fallen with joe biden his democrat woke politicians administration government that dont even know what america needs are especially whats important to american citizens like the protection america and of israel,AGAINST,FAVOR
by youre doing you sick f putin is by far a better man and president than you sir whoever you are,AGAINST,FAVOR
i just came over to look at these people who forbid me buying bioshock in my country,NONE,NONE
how are you going to compete with president joe biden with a wonderful state of the union like this doansl trump aka the crooked nepotic grifter with your 98 charges,FAVOR,AGAINST
israel has the right to defend herself,NONE,NONE
we picked bernie both times,AGAINST,NONE
so happy i missed this what a joke,NONE,FAVOR
wow he killed it trump would have been lost the entire time,FAVOR,FAVOR
the look on johnsons face shows the true state of our nation its sad that we have a president that cares about everyone but us,FAVOR,AGAINST
my goodness hes one angry elf,NONE,NONE
woow kamala is actually real 4 more years of this guy would be an absolute disaster,FAVOR,AGAINST
biden 2024 what a great speech mtg is a disgrace republicans under trump are doomed best part was when they cut to langford and he says its true on what would have occurred if the border deal passed trump supporters are delusional economy is booming america is rising and trump and his antidemocratic supporters and enablers will be defeated again democrats will keep the presidency expand their control in the senate and retake the house biden knocked it out of the park mike johnson told the house republicans to not act out they could not follow it and it was hilariously sad to see his face of disappointment and embarrassment biden baited them to act out and they took it he threw it back on to them dark brandon is activated trump is going to lose 2024 and will be convicted in 2025 and behind bars repealing roe v wade and pushing moderates away from the party is the killing blow to trumps hopes in the general election,FAVOR,AGAINST
one of the worst state of the union speeches ever it was full of lies and hate,AGAINST,FAVOR
that sad shell of what was possibly human at some point in time couldnt tie his shoes unless they where children hair flavored ice cream cones and people think he runs america bahaha the war is comming be ready the people arent gonna stand for this for much longer god bless america,FAVOR,NONE
when he was 29 the senate leader who was a white supremest liked joe and let him into the senate early back in those days joe talked about the jungles that senate leader left his desk to joe and joe never marched with mlk he lies,AGAINST,NONE
biden threatened the woman in the supreme court biden spoke something very dangerous,AGAINST,NONE
im 62 and have heard quite a few state of the union address speeches tonight i heard literally one lie right after another despicable disgraceful sickening are a few words coming to mind,FAVOR,AGAINST
the unpatriotic americans on fox spin news are furious that president biden proved that he has the mind of a very healthy 18 years young man,FAVOR,NONE
i cant listen to him for more than a few seconds the amount of lies and corruption he has perpetrated and perpetuated throughout our country is all i think about when i hear him it makes me rise to 100 on the inside with all of my heart and soul i hate this man for what he has done is treasonous and evil the propaganda the mishandling and free will with our tax dollars looking at his watch during a salute repeatedly at every salute to the dead and the list is endless he deserves to be charged with treason 100 times over and everyone who has allowed his masters to corrupt them as well,NONE,AGAINST
watched to see if he would make it no other reason its all rhetoric,FAVOR,AGAINST
liars will be liars pig will stand with pigs and pigs are better than the government,NONE,NONE
how about the safety of our boarders fzjb and his administration,NONE,FAVOR
why did they choose that fake drama queen to do the rebuttal,AGAINST,NONE
this is nothing more than a freak show sad thing is sleepy joe believes his lies he is one of the most pathetic presidents ever weak soggy wet backbone our economy is not the envy of the world what is he snorting,AGAINST,FAVOR
enough of feeding us your dung biden sandwiches if you want to hear true common sense and a real state of the union speech search for the rebuttal from senator katie britt al,AGAINST,FAVOR
we all know biden is the puppet obama is actually calling the shots,AGAINST,FAVOR
omg he just pulled the same crap he tried to pull with student loan forgiveness even nancy p said he couldnt do that but all the dems cheered,FAVOR,AGAINST
how do you know when biden is lying when his mouth is moving lol he mentioned how out of control the border crisis is but yet its fault lol what a clown,AGAINST,FAVOR
what a tool,NONE,AGAINST
id rather watch the horribly not funny extremely political woke snl,NONE,FAVOR
with all the ego stroking there the janitors must be ticked off cleaning up after all that joe is so full of it and harris sounds like the booger sugar is starting to get to her sinuses,AGAINST,NONE
so sad this is the best they can do we the people want to see a debate,FAVOR,FAVOR
im voting trump but this woman was serving some serious alyssa milano sans arms of the angel background music,NONE,FAVOR
look at all these swamplings in one room 4 more years lmao geez,NONE,FAVOR
he is not a liartrump is a liar,NONE,AGAINST
he has some redbull and double shot camala,FAVOR,AGAINST
hes a clone,NONE,NONE
back off trump fans theyre gonna be war watch yourself,NONE,AGAINST
what is he talking about this is not even reality im pretty sure he is not real,NONE,NONE
jb oh oh i crapped my pants democrats stand up and applause and cheer and call him brilliant,FAVOR,NONE
i was waiting for him to yell get off my lawn he was so angry and divisive it was actually sad,FAVOR,AGAINST
this was so rough to watch,FAVOR,NONE
joe has a proven career in working for america his time is spent doing his job rather than pandering for the cameras,FAVOR,NONE
hannity is trying his best to spin everything even though speaker mike johnson was clapping regarding putinukraine,FAVOR,AGAINST
amy couldnt decide whether to laugh or cry or look angry she needs to stop trying to imitate biden and just be real these are the reasons bidens get away with everything somebody has to be real we need trump back we need genuine people in office,AGAINST,FAVOR
bumble ramble blame others lie gaslight gatekeepers gaffe stumble what a twat,NONE,FAVOR
cnn turned their comments off edit i just realized everyone did seconds after i commented let the people speak,NONE,NONE
i wonder how much they had to pay these people to pretend that they like this evildoer,NONE,AGAINST
hunter must have contacted every dealer he knows to get brandon that hopped up,AGAINST,NONE
have tried over a dozen news sites no joe biden just motor mouths talking about it i would like to actually hear biden himself speaking,AGAINST,NONE
history is watching the threat to democracy must be defended hmmm,FAVOR,AGAINST
delusional and embarrassing,NONE,AGAINST
so many disgusting people in this place,NONE,NONE
mark levin should have given rebuttal pick apart jbs lies piece by piece,AGAINST,FAVOR
brought to you by adderall,NONE,NONE
a performance of total political correctness a show of absolute mediocracy,NONE,FAVOR
why are you clapping,NONE,NONE
comedy show i see everybody is laughing,NONE,NONE
so we gonna keep allowing this windbag to lie and rob us,AGAINST,NONE
joe is a grouchy old senile man who has so many puppet strings pulling him in ten different directions hes so tangled he will say and promise anything to bribe a vote from any race gender or age group joe has got to go,AGAINST,NONE
biden wasnt elected he was installed like a toilet,AGAINST,NONE
hunter to dad before the speech here dad sniff this and away we goooooooooooooooooo,AGAINST,NONE
i dont understand all the cheering and support for another 4 years he is not capable,FAVOR,AGAINST
he is a great president in the world better than trump trump is a loser go biden,FAVOR,AGAINST
biden is the greatest republican president of my lifetime,FAVOR,NONE
what a joke lies and bs,AGAINST,FAVOR
what a load of crap trump 2024,FAVOR,AGAINST
biden is doing the work of satan and revels in it this is what we get by having career politicians who camp out in dc for decades and become so out of touch fjb britt is right on 100,AGAINST,NONE
don the con cant run a country from prison biden harris 2024,FAVOR,AGAINST
this is comical man wow,NONE,NONE
look at all those criminals,NONE,AGAINST
why wasnt president biden wearing his wedding ring,AGAINST,NONE
like a bunch of wulfs all bunch of criminals,NONE,NONE
follow the yellow brick road,NONE,NONE
one of the worst state of the union speeches ever it was full of lies and hate 405,AGAINST,FAVOR
both sides are bought and paid for by corporate american wake up american,NONE,NONE
lol this is the first link to the sotu that allows comments that ive seen wonder why,NONE,NONE
crap i need another garbage can to puke in because this one is full,NONE,NONE
she seems to superficial they should have chosen someone else who has a better rapport across the board to give the response,FAVOR,NONE
hes full of s keep selling us out brandon,AGAINST,NONE
ok this chick sounds looney or high af this was the best rebuttal we could get,FAVOR,NONE
britt is a little too dramatic in her speech,NONE,NONE
biden should consider running for president of ukraine since he likes them so much,AGAINST,NONE
does anyone believe this nonsense,NONE,FAVOR
the demon has entered how many adrenaline shots did they need to give him this time,AGAINST,FAVOR
president biden delivered a powerful and inspirational speech hes done so much for america and he will continue hes honest and a truly kind human we need 4 more years,FAVOR,NONE
did anybody check to make sure that wasnt a masked lone ranger,NONE,NONE
sleepy the mastermind just went dark brandon on darth mango,NONE,FAVOR
holy moly who was he yelling at they had him so full of drugs it was sad and pathetic you knew he was going to lie about everything record economy blaming repubs for the border just a disgrace like he has been,FAVOR,AGAINST
look at all these asskissers,NONE,NONE
impressive state of the union biden 2024,FAVOR,NONE
this is by far the best biden looked and sounded and made trump and the maga look like idiots especially mtg,FAVOR,AGAINST
i came to the fox news channel to hear a lot of comments probably mostly negative im surprised they are so few either way even as an independent i must admit that was a pretty good speech,FAVOR,AGAINST
it doesnt matter what lying biden says tonight because we have all seen what a trash fire this administration has been,AGAINST,NONE
did anyone else feel dumber for listening to his sht,NONE,AGAINST
id like to know what drugs they had him on tonight for him to be able to get through that entire speech something hes been unable to do for yrs granite the speech was bulshit all memorized lies are we going to have a show factchecking him for all his claims and his statements tonight,AGAINST,NONE
people we need to vote for the better candidate at this moment n this is obviously not it,AGAINST,NONE
more of the same destruction of the united states of america the state of destruction,AGAINST,AGAINST
this man is the biggest liar on earth bottom line,NONE,AGAINST
this is madness,NONE,NONE
is anybody noticed the new york judge was there tonight that went after donald trump the judge should remove as a judge and be charged,NONE,AGAINST
at least they got rid of the scary red and black backdrop,FAVOR,AGAINST
president biden should consider running for the presidency of ukraine as his initial focus on the topic highlights his approach to governance prioritizing foreign affairs particularly concerning ukraine demonstrates his commitment and leadership despite the promising reports on the economy from economists the benefits are not reaching the average citizens who are facing challenges in maintaining their livelihoods our nation is grappling with issues such as illegal immigration and the strain it puts on resources it is imperative that president biden addresses pressing american matters before turning his attention elsewhere,AGAINST,NONE
clown show,NONE,AGAINST
a very powerful eloquent coherent intelligent honest speech from a cultured leader who respects everyone without mocking anyone without excluding or denigrating minorities,FAVOR,NONE
where are the comments,NONE,NONE
im so scared for america more so now the never before,AGAINST,FAVOR
